year,title,speaker,org,M/F,nonmale,location,international,description,theme
2011,Guido's Way: How to break news on Google App Engine,Ben Welsh,Los Angeles Times,M,0,"Los Angeles, CA",0,"Learn how the Los Angeles Times publishes documents, spreadsheets,  campaign contributions and more using the cloud service developed by Python author Guido van Rossum's team at Google. You will walk out with dreams of a life without server crashes -- and a bucket of free code.",Python
2011,Valet parking your Django app,Jeremy Bowers,St. Petersburg Times,M,0,"St. Petersburg, FL",0,"Deploying your app is hard. Learn how to use services like Djangy, ep.io and others to handle deployments for you -- and you won't even have to remember which pocket you put your ticket in!",Apps
2011,The Quick and Dirty Varnish Setup (for Django),Andy Boyle,New York Times Regional Media Group,M,0,"St. Petersburg, FL",0,"Huge traffic bogging down your site? Well, look no further than the Here's-How-Jeff-Larson-Told-Me-To-Do-This Varnish setup! A fast setup that even I could understand. I'll show you how to quickly install and set it up on a server, some dirty VCL code, what to throw on your Django views and some basic varnish commands. And BAM! CPU load from 99 percent to 3 percent.",Apps
2011,Making HTML Tables Interactive,Michelle Minkoff,PBS,F,1,"Washington, DC",0,"Want to help your audience pull out the info they care about most from the data you post online? I'll show you how to use the JQuery plugin DataTables to make your online tables searchable, sortable and paginated -- no databases or hardcore programming required.",HTML
2011,Spatial analysis on the cheap,Andrew Long,News21,M,0,"Phoenix, AZ",0,Let's go beyond mapping. Free software and code libraries that will help you understand the spatial nature of your data.,Mapping
2011,NodeXL for Social Network Analysis,Peter Aldhous,New Scientist,M,0,"San Francisco, CA",0,This free add-in to Excel 2007 and 2010 makes SNA easy. It also allows you to query the APIs of social media services including Twitter to draw networks of users discussing particular terms.,Network Analysis
2011,Better Bulk SQL Imports in Ruby on Rails,Derek Willis,New York Times,M,0,"Silver Spring, MD",0,Tired of looping through CSV files in order to do data imports? See how using ActiveRecord Extensions speeds up imports of large files and does smart updates to SQL databases.,"SQL, Excel"
2011,Extract-o-Matic: Two Cheap Tools For Getting Tables Out of PDFs,Robert Gebeloff,New York Times,M,0,"New York, NY",0,Two low-cost software utilities we use at the Times to quickly grab tabular data from PDF files will be demonstrated.,PDFs
2011,The Basics of MGRS Coordinates,Jacob Harris,New York Times,M,0,"New York, NY",0,A really quick overview of how to work with Military Grid Reference System coordinates found in military reports.,Geolocation
2012,"Document Armaggeddon! Comparing billions of documents to find copycats, cheaters and thieves",Chase Davis,Reveal,M,0,"San Francisco, CA",0,"Ok, so maybe ""billions"" is a stretch in practice -- but not in theory! This talk will demonstrate how to use a few lines of Python and Amazon's Elastic MapReduce framework to scan through an arbitrarily large set of documents and find those that are similar. We used it to find recycled bills from previous sessions of the California State Legislature, but the applications are endless.","Data cleaning, Python"
2012,Interactive mapping with GeoDjango and Raphael,Anthony Pesce,Los Angeles Times,M,0,"Los Angeles, CA",0,"Want to make custom thematic maps without Flash? Learn how the Los Angeles Times uses GeoDjango and the Raphael JavaScript library to create interactive, vector based maps that load in everything from IE7 to an iPad.",Proprietary Tools
